CRNN V3 Evaluation | Epoch 150
CharAcc=69.38% WordAcc=44.10% ExactMatch=45.14%
CER=0.3062 WER=0.5615

Y GT:[বিয়ে] PR:[বিয়ে]
Y GT:[কই] PR:[কই]
Y GT:[মা] PR:[মা]
N GT:[বাড়ীূূতে] PR:[বাড়ীতে]
Y GT:[হই] PR:[হই]
Y GT:[চই] PR:[চই]
Y GT:[সেগুন] PR:[সেগুন]
Y GT:[মেলার] PR:[মেলার]
Y GT:[ফার্ণিচার] PR:[ফার্ণিচার]
N GT:[অনিমা] PR:[আনিকআ্া]
N GT:[৩৬] PR:[৩৭৬,]
Y GT:[এম.] PR:[এম.]
Y GT:[বি.] PR:[বি.]
N GT:[রোড] PR:[রোড,]
N GT:[বেলঘড়িয়া] PR:[বেলঘড়িয়া]
Y GT:[আর.] PR:[আর.]
N GT:[লাডিস] PR:[লেডিস]
Y GT:[বিউটি] PR:[বিউটি]
N GT:[পার্লার] PR:[পালার]
Y GT:[এম.] PR:[এম.]
Y GT:[বি.] PR:[বি.]
Y GT:[রোড,] PR:[রোড,]
N GT:[পূর্বপাড়া,] PR:[পূর্বপাড়া,]
Y GT:[কোলকাতা] PR:[কোলকাতা]
Y GT:[এই] PR:[এই]
Y GT:[চিহ্নে] PR:[চিহ্নে]
Y GT:[ভোট] PR:[ভোট]
Y GT:[দিন।।] PR:[দিন।।]
N GT:[অপ্সরা] PR:[অস্সরা]
N GT:[রত্নলক্ষ্মী] PR:[রত্লন্ধী]
Y GT:[জুয়েলার্স] PR:[জুয়েলার্স]
Y GT:[বিপ্লব] PR:[বিপ্লব]
Y GT:[কলকাতা-] PR:[কলকাতা-]
Y GT:[৮৩] PR:[৮৩]
Y GT:[বাপি] PR:[বাপি]
Y GT:[আয়া] PR:[আয়া]
Y GT:[সেন্টার] PR:[সেন্টার]
N GT:[মঞ্জউ] PR:[মান্জু]
Y GT:[আইডিয়া] PR:[আইডিয়া]
N GT:[গিফ্ট] PR:[চিষ্ষ্ট]
N GT:[সামগ্রী] PR:[সাম্মগিী]
Y GT:[পাওয়া] PR:[পাওয়া]
N GT:[যায়।] PR:[যায়ং]
N GT:[তলা .] PR:[অলা]
Y GT:[কলকাতা-] PR:[কলকাতা-]
Y GT:[৭০০] PR:[৭০০]
N GT:[০৪৯।] PR:[০৪৯]
Y GT:[আনন্দ] PR:[আনন্দ]
Y GT:[গিফ্ট] PR:[গিফ্ট]
Y GT:[শহীদ] PR:[শহীদ]
Y GT:[কমরেড] PR:[কমরেড]
N GT:[বিমলেন্দু] PR:[বিম্লেন্দু]
Y GT:[রায়চৌধুরী] PR:[রায়চৌধুরী]
N GT:[স্মরণে] PR:[স্রণে]
Y GT:[বেলঘরিয়া] PR:[বেলঘরিয়া]
N GT:[নারায়ণ] PR:[মরাদ্]
Y GT:[এন্ড] PR:[এন্ড]
Y GT:[সন্স] PR:[সন্স]
Y GT:[৪৯] PR:[৪৯]
N GT:[পান্ত্ু] PR:[পান্তু]
Y GT:[জুয়েলার্স] PR:[জুয়েলার্স]
N GT:[ঔঁ] PR:[ও]
Y GT:[এন্ড] PR:[এন্ড]
N GT:[সন্স] PR:[সন্]
Y GT:[ফার্ণিচার] PR:[ফার্ণিচার]
N GT:[সাউন্ড] PR:[সাউণ্]
N GT:[মানসী] PR:[মনপ্গী]
N GT:[গন্ধেশ্বরী] PR:[গান্ধেশ্বরী]
N GT:[হার্ডওয়্যার] PR:[হা্ডওয়্যার]
Y GT:[এন্ড] PR:[এন্ড]
N GT:[পেইণ্টস্] PR:[পেইন্টস]
N GT:[গবিন্দ] PR:[লোল]
N GT:[ষ্টোর্স] PR:[ওয়া]
Y GT:[রবি] PR:[রবি]
N GT:[দাস] PR:[দাল্স]
N GT:[(পঃবঃ সারকার)] PR:[পঃবঙ্সরকার)]
Y GT:[ম্যাসাজ] PR:[ম্যাসাজ]
Y GT:[করানো] PR:[করানো]
Y GT:[হয়] PR:[হয়]
N GT:[প্রধান] PR:[প্র়ধান]
Y GT:[গোল্ড] PR:[গোল্ড]
Y GT:[জুয়েলার্স] PR:[জুয়েলার্স]
Y GT:[গুঁড়ো] PR:[গুঁড়ো]
Y GT:[মশলা] PR:[মশলা]
Y GT:[এখানে] PR:[এখানে]
N GT:[প্রস্ব্্রাব] PR:[প্র্াব]
N GT:[করিবেন] PR:[করিকেন]
Y GT:[না] PR:[না]
Y GT:[সমষ্টি] PR:[সমষ্টি]
N GT:[ভূমি] PR:[ভুমি]
Y GT:[ও] PR:[ও]
Y GT:[ভুমি] PR:[ভুমি]
N GT:[আধিকারিকের] PR:[অ্িকারিকের]
N GT:[কার্য্যালয়] PR:[কার্্যালেয়]
N GT:[সৎস্কার] PR:[সংক্ার]
Y GT:[আবার] PR:[আবার]
Y GT:[মদন] PR:[মদন]
N GT:[মিত্র] PR:[মিক্]
N GT:[প্রতারকদের] PR:[ভতভারকদের]
N GT:[জড়িত] PR:[জভ্িত]
Y GT:[৫৬] PR:[৫৬]
Y GT:[কালীতলা] PR:[কালীতলা]
N GT:[বনহুগলী] PR:[বনহগলী]
N GT:[সুকুমার] PR:[ইকনুগান]
N GT:[ঘোষ] PR:[থথী্]
Y GT:[কে] PR:[কে]
N GT:[ভোট] PR:[পু৬ট]
N GT:[দিন] PR:[দিন.]
Y GT:[আপনালয়] PR:[আপনালয়]
N GT:[এ্যাপাটমেন্ট] PR:[এ্প্াউটমেন্ট]
N GT:[এপার্টমেন্ট] PR:[এ্পারটমেন্ট]
N GT:[ধন্বন্তরি] PR:[মকতান]
N GT:[মেডিকেল] PR:[মনতিকন]
Y GT:[মহিলা] PR:[মহিলা]
N GT:[কর্মীদের] PR:[কমীদের]
N GT:[বিশ্রাম] PR:[বিশ্াম]
Y GT:[ঘর] PR:[ঘর]
Y GT:[দ্রুত] PR:[দ্রুত]
N GT:[রেজিষ্ট্রেশন] PR:[রেজিষ্রেন]
N GT:[মোবাইল] PR:[মইদ]
Y GT:[বি] PR:[বি]
N GT:[রি] PR:[বি]
Y GT:[পে] PR:[পে]
Y GT:[ব্যাঙ্ক] PR:[ব্যাঙ্ক]
Y GT:[প্রতারকদের] PR:[প্রতারকদের]
Y GT:[হাত] PR:[হাত]
Y GT:[থেকে] PR:[থেকে]
Y GT:[সাবধান] PR:[সাবধান]
N GT:[হিন্দুস্থান] PR:[জরকাস]
Y GT:[নিউ] PR:[নিউ]
